country,date,invoice_id,customer_id,stream_id,times_viewed,price,year,month,day
Norway,2017-12-04,490718,12443,85216,12,0.65,2017,12,4
Norway,2017-12-04,490718,12443,21700,12,0.85,2017,12,4
Norway,2017-12-04,490718,12443,72814,4,3.75,2017,12,4
Norway,2017-12-04,490718,12443,20780,2,5.49,2017,12,4
Norway,2017-12-04,490718,12443,21874,12,1.25,2017,12,4
Norway,2017-12-04,490718,12443,72756,22,1.49,2017,12,4
Norway,2017-12-04,490718,12443,84600,4,7.95,2017,12,4
Norway,2017-12-04,490718,12443,22098,12,1.25,2017,12,4
Norway,2017-12-04,490718,12443,20914,6,2.95,2017,12,4
Norway,2017-12-04,490718,12443,21882,12,0.65,2017,12,4
Norway,2017-12-04,490718,12443,21930,10,1.9500000000000002,2017,12,4
Norway,2017-12-04,490718,12443,22100,12,1.25,2017,12,4
Norway,2017-12-04,490718,12443,21427,6,2.1,2017,12,4
Norway,2017-12-04,490718,12443,21213,22,0.55,2017,12,4
Norway,2017-12-04,490718,12443,21232,12,1.25,2017,12,4
Norway,2017-12-04,490718,12443,20689,3,5.95,2017,12,4
Norway,2018-08-17,519735,12433,17011A,21,0.30000000000000004,2018,8,17
Norway,2018-08-17,519735,12433,17011D,15,0.30000000000000004,2018,8,17
Norway,2018-08-17,519735,12433,17014E,8,0.30000000000000004,2018,8,17
Norway,2018-08-17,519735,12433,17011B,8,0.30000000000000004,2018,8,17
Norway,2018-08-17,519735,12433,17014D,14,0.30000000000000004,2018,8,17
Norway,2018-08-17,519735,12433,17013F,16,0.30000000000000004,2018,8,17
Norway,2018-08-17,519735,12433,17013D,17,0.30000000000000004,2018,8,17
Norway,2018-08-17,519735,12433,17014F,21,0.30000000000000004,2018,8,17
Norway,2018-09-13,522651,12433,21791,12,1.25,2018,9,13
Norway,2018-09-13,522651,12433,21889,12,1.25,2018,9,13
Norway,2018-09-13,522651,12433,21912,4,3.75,2018,9,13
Norway,2018-09-13,522651,12433,21557,6,2.95,2018,9,13
Norway,2018-09-13,522651,12433,84077,14,0.21,2018,9,13
Norway,2018-09-13,522651,12433,22311,2,4.95,2018,9,13
Norway,2018-09-13,522651,12433,22312,2,4.95,2018,9,13
Norway,2018-09-13,522651,12433,22313,2,4.95,2018,9,13
Norway,2018-09-13,522651,12433,22314,2,4.95,2018,9,13
Norway,2018-09-13,522651,12433,47480,12,1.65,2018,9,13
Norway,2018-09-13,522651,12433,22550,4,3.75,2018,9,13
Norway,2018-09-13,522651,12433,22665,6,2.95,2018,9,13
Norway,2018-09-13,522651,12433,21319,12,1.65,2018,9,13
Norway,2018-09-13,522651,12433,21320,12,2.55,2018,9,13
Norway,2018-09-13,522651,12433,20679,6,5.95,2018,9,13
Norway,2018-09-13,522651,12433,15056N,12,5.95,2018,9,13
Norway,2018-09-13,522651,12433,15056BL,12,5.95,2018,9,13
Norway,2018-09-13,522651,12433,22095,12,1.25,2018,9,13
Norway,2018-09-13,522651,12433,21519,12,0.42,2018,9,13
Norway,2018-09-13,522651,12433,21518,12,0.42,2018,9,13
